date,team_h,team_a,score_h,score_a,forecast,proba_p1,proba_x,proba_p2,odds_p1,odds_x,odds_p2,success
11.06.26,Czechia,South Korea,1,2,1,0.224,0.509,0.268,2.90,3.10,2.6,-
11.06.26,Mexico,South Africa,2,0,0,0.714,0.262,0.023,1.40,4.50,8.50,+
12.06.26,Canada,Bosnia/Herzegovina,1,1,0,0.543,0.387,0.070,1.85,3.5,4.5,-
12.06.26,United States,Paraguay,4,0,1,0.138,0.476,0.387,2.08,3.3,3.9,-
13.06.26,Australia,Turkey,2,0,1,0.134,0.473,0.393,5.0,3.75,1.7,-
13.06.26,Brazil,Morocco,1,1,1,0.445,0.460,0.095,1.7,3.7,5.25,+
13.06.26,Haiti,Scotland,0,1,2,0.060,0.372,0.568,5.25,4.5,1.53,+
13.06.26,Qatar,Switzerland,1,1,2,0.009,0.169,0.822,13.0,6.5,1.23,-
14.06.26,Curaçao,Germany,1,7,2,0.008,0.155,0.838,29.0,17.0,1.04,+
14.06.26,Ecuador,Ivory Coast,0,1,0,0.602,0.352,0.046,2.38,2.8,3.6,-
14.06.26,Japan,Netherlands,2,2,1,0.180,0.507,0.314,3.7,3.6,2.0,+
14.06.26,Sweden,Tunisia,5,1,1,0.377,0.474,0.149,1.85,3.5,4.2,-
15.06.26,Belgium,Egypt,1,1,0,0.501,0.418,0.081,1.62,3.8,5.75,-
15.06.26,Cape Verde,Spain,0,0,2,0.002,0.084,0.913,21.0,12.0,1.08,-
15.06.26,Iran,New Zealand,2,2,0,0.521,0.400,0.078,1.83,3.4,4.75,-
15.06.26,Saudi Arabia,Uruguay,1,1,2,0.030,0.286,0.684,7.5,4.34,1.44,-
16.06.26,Algeria,Argentina,0,3,2,0.022,0.241,0.737,1.4,4.85,8.0,+
16.06.26,Austria,Jordan,3,1,0,0.449,0.446,0.105,1.33,5.5,7.5,+
16.06.26,France,Senegal,3,1,0,0.470,0.452,0.079,1.45,4.60,7.00,+
16.06.26,Iraq,Norway,1,4,2,0.035,0.305,0.660,12.00,6.50,1.22,+
17.06.26,Colombia,Uzbekistan,3,1,0,0.568,0.381,0.051,1.38,4.5,9.0,+
17.06.26,Croatia,England,2,4,1,0.148,0.490,0.362,4.5,3.8,1.73,-
17.06.26,DR Congo,Portugal,1,1,2,0.029,0.282,0.689,11.0,5.75,1.27,-
17.06.26,Ghana,Panama,1,0,2,0.062,0.371,0.567,2.15,3.50,3.30,-
18.06.26,Bosnia/Herzegovina,Switzerland,1,4,2,0.038,0.314,0.649,5.75,4.20,1.55,+
18.06.26,Canada,Qatar,6,0,0,0.757,0.225,0.018,1.29,5.50,10.00,+
18.06.26,Czechia,South Africa,1,1,0,0.561,0.374,0.065,1.75,3.80,4.33,-
18.06.26,Mexico,South Korea,1,0,1,0.386,0.484,0.130,1.95,3.30,4.10,-
19.06.26,Brazil,Haiti,3,0,0,0.808,0.183,0.009,1.11,9.50,19.00,+
19.06.26,Morocco,Scotland,1,0,1,0.318,0.505,0.176,1.73,3.70,5.00,-
19.06.26,Paraguay,Turkey,1,0,1,0.173,0.500,0.327,4.00,3.25,2.00,-
19.06.26,United States,Australia,2,0,1,0.183,0.502,0.315,1.62,4.00,5.50,-
20.06.26,Curaçao,Ecuador,0,0,2,0.007,0.148,0.845,21.00,11.00,1.09,-
20.06.26,Germany,Ivory Coast,2,1,0,0.589,0.361,0.049,1.55,4.20,5.75,+
20.06.26,Japan,Tunisia,4,0,0,0.621,0.337,0.042,1.53,3.80,7.50,+
20.06.26,Netherlands,Sweden,5,1,0,0.569,0.378,0.053,1.67,3.90,5.00,+
21.06.26,Belgium,Iran,0,0,1,0.384,0.485,0.131,1.42,4.50,7.50,+
