++ - модель уверена в исходе (>70%)
+ - уверена, но меньше (50-70%)
? - не уверена (<50%)

Дата         | Матч                                    | Прогноз                  | Вероятности
------------------------------------------------------------------------------------------------------
28.06.26     |             Canada - South Africa       | + Победа: Canada         | П1 52.0%   Ничья 40.1%   П2 7.9%
29.06.26     |             Brazil - Japan              | + Ничья                  | П1 34.7%   Ничья 50.7%   П2 14.6%
29.06.26     |            Germany - Paraguay           | ? Ничья                  | П1 37.3%   Ничья 49.0%   П2 13.6%
29.06.26     |            Morocco - Netherlands        | ? Ничья                  | П1 14.0%   Ничья 48.2%   П2 37.8%
30.06.26     |             France - Sweden             | + Победа: France         | П1 68.8%   Ничья 29.1%   П2 2.1%
30.06.26     |        Ivory Coast - Norway             | ? Победа: Norway         | П1 9.1%   Ничья 43.2%   П2 47.7%
30.06.26     |             Mexico - Ecuador            | + Ничья                  | П1 25.3%   Ничья 51.8%   П2 22.9%
01.07.26     |           DR Congo - England            | + Победа: England        | П1 3.0%   Ничья 28.3%   П2 68.7%
01.07.26     |      United States - Bosnia/Herzegovina | ? Победа: United States  | П1 49.0%   Ничья 42.1%   П2 8.8%
01.07.26     |            Belgium - Senegal            | + Ничья                  | П1 29.5%   Ничья 51.3%   П2 19.2%
02.07.26     |            Croatia - Portugal           | ? Ничья                  | П1 15.3%   Ничья 49.2%   П2 35.4%
02.07.26     |            Algeria - Switzerland        | ? Ничья                  | П1 12.5%   Ничья 46.7%   П2 40.8%
02.07.26     |            Austria - Spain              | + Победа: Spain          | П1 3.5%   Ничья 29.5%   П2 67.0%
03.07.26     |          Argentina - Cape Verde         | ++ Победа: Argentina     | П1 82.6%   Ничья 16.8%   П2 0.6%
03.07.26     |          Australia - Egypt              | ? Ничья                  | П1 33.3%   Ничья 49.6%   П2 17.1%
03.07.26     |           Colombia - Ghana              | ++ Победа: Colombia      | П1 77.9%   Ничья 20.9%   П2 1.2%
