date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2023-06-03,Eswatini,Lesotho,1,2,Friendly,Eswatini,1284,1233,138,155
2023-06-03,Eswatini,Lesotho,1,0,Friendly,Eswatini,1290,1227,138,155
2023-06-07,Mexico,Guatemala,2,0,Friendly,Mexico,1807,1475,24,83
2023-06-09,Luxembourg,Malta,0,1,Friendly,Luxembourg,1432,1270,96,143
2023-06-09,Lebanon,Vanuatu,3,1,Intercontinental Cup,India,1326,1117,124,174
2023-06-09,India,Mongolia,2,0,Intercontinental Cup,India,1242,803,151,210
2023-06-10,Panama,Nicaragua,3,2,Friendly,Panama,1672,1278,49,141
2023-06-10,Martinique,Guyana,2,0,Friendly,the United States,1401,1202,105,159
2023-06-10,Cameroon,Mexico,2,2,Friendly,the United States,1631,1802,53,24
2023-06-10,Kyrgyzstan,Afghanistan,1,0,Central Asian Nations Cup,Kyrgyzstan,1245,1090,150,178
2023-06-11,Trinidad and Tobago,Guatemala,1,0,Friendly,the United States,1373,1462,111,89
2023-06-11,Mauritius,Pakistan,3,0,Friendly tournament,Mauritius,964,853,191,205
2023-06-11,Chile,Cuba,3,0,Friendly,Chile,1706,1342,42,120
2023-06-11,Central African Republic,Uganda,1,1,Friendly,Cameroon,1336,1389,122,108
2023-06-11,Uzbekistan,Oman,3,0,Central Asian Nations Cup,Uzbekistan,1615,1575,57,66
2023-06-11,Tajikistan,Turkmenistan,1,1,Central Asian Nations Cup,Uzbekistan,1321,1250,128,148
2023-06-12,Morocco,Cape Verde,0,0,Friendly,Morocco,1870,1488,15,81
2023-06-12,Lebanon,Mongolia,0,0,Intercontinental Cup,India,1312,817,132,210
2023-06-12,Kuwait,Zambia,3,0,Friendly,Egypt,1378,1460,110,89
2023-06-12,India,Vanuatu,1,0,Intercontinental Cup,India,1248,1111,149,174
2023-06-12,Germany,Ukraine,3,3,Friendly,Germany,1944,1818,11,22
2023-06-13,Haiti,Saint Kitts and Nevis,3,1,Friendly,the United States,1550,1189,68,162
2023-06-13,Curaçao,Puerto Rico,0,0,Friendly,the United States,1344,1108,119,176
2023-06-13,Iran,Afghanistan,6,1,Central Asian Nations Cup,Kyrgyzstan,1779,1089,28,178
2023-06-14,Uruguay,Nicaragua,4,1,Friendly,Uruguay,1915,1278,13,141
2023-06-14,Togo,Lesotho,2,0,Friendly,South Africa,1337,1216,122,158
2023-06-14,Mozambique,Malawi,1,1,Friendly,Mozambique,1307,1257,134,145
2023-06-14,Mauritius,Djibouti,1,3,Friendly tournament,Mauritius,930,894,195,200
2023-06-14,Malaysia,Solomon Islands,4,1,Friendly,Malaysia,1268,1240,144,152
2023-06-14,Kenya,Pakistan,1,0,Friendly tournament,Mauritius,1371,852,114,205
2023-06-14,Indonesia,Palestine,0,0,Friendly,Indonesia,1287,1445,139,93
2023-06-14,DR Congo,Uganda,1,0,Friendly,Cameroon,1478,1381,82,108
2023-06-14,Uzbekistan,Turkmenistan,2,0,Central Asian Nations Cup,Uzbekistan,1619,1246,56,150
2023-06-14,Oman,Tajikistan,1,1,Central Asian Nations Cup,Uzbekistan,1563,1333,67,124
2023-06-14,Guinea-Bissau,Sao Tome and Principe,1,0,African Nations Cup qual,Guinea-Bissau,1402,1066,105,180
2023-06-14,Gambia,South Sudan,3,2,African Nations Cup qual,Egypt,1448,1117,92,173
2023-06-14,Egypt,Guinea,2,1,African Nations Cup qual,Morocco,1682,1416,45,100
2023-06-14,Netherlands,Croatia,2,4,European Nations League,the Netherlands,1991,2012,7,4
2023-06-15,Vietnam,Hong Kong,1,0,Friendly,Vietnam,1394,1128,107,171
2023-06-15,Venezuela,Honduras,1,0,Friendly,the United States,1696,1468,44,86
2023-06-15,Vanuatu,Mongolia,1,0,Intercontinental Cup,India,1116,812,174,210
2023-06-15,Qatar,Jamaica,2,1,Friendly,Austria,1555,1538,68,73
2023-06-15,Philippines,Nepal,1,0,Friendly,the Philippines,1050,933,183,194
2023-06-15,Japan,El Salvador,6,0,Friendly,Japan,1842,1467,19,88
2023-06-15,India,Lebanon,0,0,Intercontinental Cup,India,1246,1314,149,129
2023-06-15,Guatemala,Costa Rica,1,0,Friendly,the United States,1478,1698,82,43
2023-06-15,Cambodia,Bangladesh,0,1,Friendly,Cambodia,864,864,203,203
2023-06-15,Argentina,Australia,2,0,Friendly,China,2148,1772,1,30
2023-06-15,Spain,Italy,2,1,European Nations League,the Netherlands,1987,1925,8,12
2023-06-15,Canada,Panama,2,0,CONCACAF Nat League,the United States,1757,1647,33,52
2023-06-16,Taiwan,Thailand,2,2,Friendly,Taiwan,909,1371,196,113
2023-06-16,Sweden,New Zealand,4,1,Friendly,Sweden,1756,1524,34,75
2023-06-16,South Korea,Peru,0,1,Friendly,South Korea,1768,1855,30,18
2023-06-16,Singapore,Papua New Guinea,2,2,Friendly,Singapore,1137,1223,169,157
2023-06-16,Serbia,Jordan,3,2,Friendly,Austria,1867,1589,16,65
2023-06-16,Poland,Germany,1,0,Friendly,Poland,1795,1932,25,10
2023-06-16,Colombia,Iraq,1,0,Friendly,Spain,1932,1617,10,57
2023-06-16,China,Myanmar,4,0,Friendly,China,1470,907,85,197
2023-06-16,Chile,Dominican Republic,5,0,Friendly,Chile,1707,1200,41,161
2023-06-16,Kyrgyzstan,Iran,1,5,Central Asian Nations Cup,Kyrgyzstan,1239,1785,152,26
2023-06-16,Wales,Armenia,2,4,European Champ qual,Wales,1679,1489,47,81
2023-06-16,North Macedonia,Ukraine,2,3,European Champ qual,North Macedonia,1529,1829,74,23
2023-06-16,Malta,England,0,4,European Champ qual,Malta,1268,2004,143,5
2023-06-16,Latvia,Turkey,2,3,European Champ qual,Latvia,1340,1709,119,39
2023-06-16,Kosovo,Romania,0,0,European Champ qual,Kosovo,1501,1620,79,54
2023-06-16,Kazakhstan,San Marino,3,0,European Champ qual,Italy,1419,780,99,211
2023-06-16,Israel,Belarus,2,1,European Champ qual,Hungary,1611,1394,58,106
2023-06-16,Greece,Ireland,2,1,European Champ qual,Greece,1696,1658,43,49
2023-06-16,France,Gibraltar,3,0,European Champ qual,Portugal,2112,1066,3,179
2023-06-16,Finland,Slovenia,2,0,European Champ qual,Finland,1694,1656,45,50
2023-06-16,Denmark,Northern Ireland,1,0,European Champ qual,Denmark,1857,1519,17,77
2023-06-16,Andorra,Switzerland,1,2,European Champ qual,Andorra,1121,1891,171,14
2023-06-16,Martinique,Saint Lucia,3,1,CONCACAF Champ qual,the United States,1409,1065,103,181
2023-06-16,Guadeloupe,Antigua and Barbuda,5,0,CONCACAF Champ qual,the United States,1217,1121,158,171
2023-06-16,Curaçao,Saint Kitts and Nevis,1,1,CONCACAF Champ qual,the United States,1336,1197,122,162
2023-06-17,Ecuador,Bolivia,1,0,Friendly,the United States,1844,1614,18,58
2023-06-17,Djibouti,Pakistan,3,1,Friendly tournament,Mauritius,914,832,196,207
2023-06-17,Brazil,Guinea,4,1,Friendly,Spain,2120,1415,2,101
2023-06-17,Uzbekistan,Tajikistan,5,1,Central Asian Nations Cup,Uzbekistan,1626,1326,54,124
2023-06-17,Oman,Turkmenistan,2,0,Central Asian Nations Cup,Uzbekistan,1571,1238,67,153
2023-06-17,Zambia,Ivory Coast,3,0,African Nations Cup qual,Zambia,1506,1632,77,52
2023-06-17,South Africa,Morocco,2,1,African Nations Cup qual,South Africa,1571,1838,67,20
2023-06-17,Equatorial Guinea,Tunisia,1,0,African Nations Cup qual,Equatorial Guinea,1498,1725,81,36
2023-06-17,Comoros,Lesotho,1,0,African Nations Cup qual,South Africa,1254,1197,147,160
2023-06-17,Botswana,Libya,1,0,African Nations Cup qual,Botswana,1341,1324,119,125
2023-06-17,Benin,Senegal,1,1,African Nations Cup qual,Benin,1386,1740,108,35
2023-06-17,Angola,Central African Republic,2,1,African Nations Cup qual,Cameroon,1421,1320,99,128
2023-06-17,Portugal,Bosnia and Herzegovina,3,0,European Champ qual,Portugal,2008,1603,5,61
2023-06-17,Norway,Scotland,1,2,European Champ qual,Norway,1722,1820,37,23
2023-06-17,Montenegro,Hungary,0,0,European Champ qual,Montenegro,1559,1820,69,23
2023-06-17,Luxembourg,Liechtenstein,2,0,European Champ qual,Luxembourg,1434,968,96,190
2023-06-17,Lithuania,Bulgaria,1,1,European Champ qual,Lithuania,1263,1484,145,84
2023-06-17,Iceland,Slovakia,1,2,European Champ qual,Iceland,1502,1616,78,57
2023-06-17,Faroe Islands,Czechia,0,3,European Champ qual,the Faroe Islands,1299,1791,137,26
2023-06-17,Cyprus,Georgia,1,2,European Champ qual,Cyprus,1346,1661,117,48
2023-06-17,Belgium,Austria,1,1,European Champ qual,Belgium,1972,1774,9,29
2023-06-17,Azerbaijan,Estonia,1,1,European Champ qual,Azerbaijan,1408,1448,104,93
2023-06-17,Albania,Moldova,2,0,European Champ qual,Albania,1544,1242,72,150
2023-06-17,Puerto Rico,Suriname,0,0,CONCACAF Champ qual,the United States,1119,1303,173,136
2023-06-17,Grenada,Guyana,1,1,CONCACAF Champ qual,the United States,1114,1197,176,160
2023-06-18,Venezuela,Guatemala,1,0,Friendly,the United States,1700,1474,42,86
2023-06-18,Singapore,Solomon Islands,1,1,Friendly,Singapore,1137,1240,169,151
2023-06-18,Paraguay,Nicaragua,2,0,Friendly,Paraguay,1720,1277,38,139
2023-06-18,Mauritius,Kenya,1,0,Friendly tournament,Mauritius,956,1345,192,118
2023-06-18,India,Lebanon,2,0,Intercontinental Cup,India,1266,1294,142,137
2023-06-18,Egypt,South Sudan,3,0,Friendly,Egypt,1683,1116,46,174
2023-06-18,Togo,Eswatini,2,0,African Nations Cup qual,South Africa,1363,1264,116,143
2023-06-18,Tanzania,Niger,1,0,African Nations Cup qual,Tanzania,1324,1225,126,155
2023-06-18,Rwanda,Mozambique,0,2,African Nations Cup qual,Rwanda,1247,1343,148,119
2023-06-18,Nigeria,Sierra Leone,3,2,African Nations Cup qual,Liberia,1615,1325,58,125
2023-06-18,Madagascar,Ghana,0,0,African Nations Cup qual,Madagascar,1237,1580,154,64
2023-06-18,Gabon,DR Congo,0,2,African Nations Cup qual,Gabon,1431,1516,96,78
2023-06-18,Congo,Mali,0,2,African Nations Cup qual,Congo,1264,1608,143,61
2023-06-18,Cape Verde,Burkina Faso,3,1,African Nations Cup qual,Cape Verde,1519,1568,76,68
2023-06-18,Algeria,Uganda,2,1,African Nations Cup qual,Cameroon,1714,1376,39,111
2023-06-18,Netherlands,Italy,2,3,European Nations League,the Netherlands,1955,1961,10,9
2023-06-18,Croatia,Spain,0,0,European Nations League,the Netherlands,2010,1989,4,7
2023-06-18,Mexico,Panama,1,0,CONCACAF Nat League,the United States,1790,1634,27,51
2023-06-19,Philippines,Taiwan,2,3,Friendly,the Philippines,1034,925,185,196
2023-06-19,New Zealand,Qatar,1,0,Friendly,Austria,1535,1544,73,71
2023-06-19,Myanmar,Macao,2,0,Friendly,China,914,688,197,220
2023-06-19,Jordan,Jamaica,2,1,Friendly,Austria,1598,1529,63,74
2023-06-19,Indonesia,Argentina,0,2,Friendly,Indonesia,1287,2148,138,1
2023-06-19,Hong Kong,Thailand,0,1,Friendly,Hong Kong,1122,1377,170,111
2023-06-19,Ukraine,Malta,1,0,European Champ qual,Slovakia,1831,1266,22,141
2023-06-19,Turkey,Wales,2,0,European Champ qual,Turkey,1728,1660,36,49
2023-06-19,Switzerland,Romania,2,2,European Champ qual,Switzerland,1875,1636,14,51
2023-06-19,Slovenia,Denmark,1,1,European Champ qual,Slovenia,1662,1851,47,17
2023-06-19,Northern Ireland,Kazakhstan,0,1,European Champ qual,Northern Ireland,1489,1449,83,92
2023-06-19,Israel,Andorra,2,1,European Champ qual,Israel,1612,1120,60,172
2023-06-19,Ireland,Gibraltar,3,0,European Champ qual,Ireland,1659,1065,50,180
2023-06-19,France,Greece,1,0,European Champ qual,France,2114,1694,3,44
2023-06-19,Finland,San Marino,6,0,European Champ qual,Finland,1694,780,44,211
2023-06-19,England,North Macedonia,7,0,European Champ qual,England,2007,1526,6,75
2023-06-19,Belarus,Kosovo,2,1,European Champ qual,Hungary,1420,1475,101,85
2023-06-19,Armenia,Latvia,2,1,European Champ qual,Armenia,1497,1332,82,123
2023-06-20,Vietnam,Syria,1,0,Friendly,Vietnam,1402,1414,105,103
2023-06-20,Uruguay,Cuba,2,0,Friendly,Uruguay,1916,1341,12,120
2023-06-20,South Korea,El Salvador,1,1,Friendly,South Korea,1760,1475,32,87
2023-06-20,Senegal,Brazil,4,2,Friendly,Portugal,1767,2093,30,3
2023-06-20,Montenegro,Czechia,1,4,Friendly,Montenegro,1548,1802,70,25
2023-06-20,Malaysia,Papua New Guinea,10,0,Friendly,Malaysia,1284,1207,138,158
2023-06-20,Japan,Peru,4,1,Friendly,Japan,1855,1842,15,20
2023-06-20,Haiti,Trinidad and Tobago,0,0,Friendly,the United States,1545,1378,71,110
2023-06-20,Germany,Colombia,0,2,Friendly,Germany,1913,1951,13,11
2023-06-20,Ecuador,Costa Rica,3,1,Friendly,the United States,1853,1689,17,45
2023-06-20,China,Palestine,2,0,Friendly,China,1480,1435,86,96
2023-06-20,Bolivia,Chile,0,0,Friendly,Bolivia,1614,1707,58,41
2023-06-20,Algeria,Tunisia,1,1,Friendly,Algeria,1711,1728,40,36
2023-06-20,Kyrgyzstan,Oman,0,1,Central Asian Nations Cup,Uzbekistan,1234,1576,155,64
2023-06-20,Uzbekistan,Iran,0,1,Central Asian Nations Cup,Uzbekistan,1609,1802,60,25
2023-06-20,Mauritania,Sudan,3,0,African Nations Cup qual,Morocco,1401,1291,107,136
2023-06-20,Ethiopia,Malawi,0,0,African Nations Cup qual,Mozambique,1307,1260,131,148
2023-06-20,Burundi,Namibia,3,2,African Nations Cup qual,Tanzania,1276,1385,142,109
2023-06-20,Scotland,Georgia,2,0,European Champ qual,Scotland,1831,1650,22,50
2023-06-20,Norway,Cyprus,3,1,European Champ qual,Norway,1726,1342,38,119
2023-06-20,Moldova,Poland,3,2,European Champ qual,Moldova,1279,1758,140,33
2023-06-20,Liechtenstein,Slovakia,0,1,European Champ qual,Liechtenstein,966,1618,190,55
2023-06-20,Iceland,Portugal,0,1,European Champ qual,Iceland,1498,2012,80,4
2023-06-20,Hungary,Lithuania,2,0,European Champ qual,Hungary,1821,1262,24,147
2023-06-20,Faroe Islands,Albania,1,3,European Champ qual,the Faroe Islands,1281,1562,139,68
