team,wc_particip,market_value
England,17,1620000000
France,17,1470000000
Spain,18,1310000000
Portugal,10,968500000
Brazil,23,908700000
Germany,21,773500000
Netherlands,12,766000000
Argentina,20,761200000
Belgium,15,558200000
Turkey,3,522700000
Ivory Coast,4,514900000
Norway,4,504000000
Senegal,4,474000000
Morocco,8,456000000
Sweden,13,435380000
Ecuador,5,366730000
Uruguay,16,362450000
Croatia,7,357300000
United States,12,356700000
Switzerland,13,317600000
Colombia,7,300500000
Japan,8,263899999
Austria,9,258300000
Algeria,5,227850000
Ghana,5,220780000
Scotland,9,207830000
Czechia,2,179080000
DR Congo,1,153500000
South Korea,12,142200000
Paraguay,10,134450000
Bosnia and Herzegovina,2,133400000
Canada,3,129050000
Egypt,4,108830000
Mexico,18,79800000
Uzbekistan,1,79280000
Tunisia,7,66550000
Haiti,2,56830000
Cape Verde,1,53430000
Australia,7,51330000
South Africa,4,41150000
Iran,7,34680000
Panama,2,32400000
New Zealand,3,31700000
Curaçao,1,28680000
Saudi Arabia,7,27630000
Iraq,2,19780000
Qatar,2,17930000
Jordan,1,16079999
Italy,18,833500000
Denmark,6,368000000
Greece,3,315600000
Serbia,3,296500000
Ukraine,1,288200000
Nigeria,6,218080000
Russia,4,215750000
Poland,9,214000000
Hungary,9,210800000
Georgia,0,199050000
Wales,2,199050000
Cameroon,8,197400000
Ireland,3,144080000
Slovenia,2,143850000
Slovakia,1,130550000
Burkina Faso,0,121230000
Kosovo,0,114280000
Romania,7,97200000
Israel,1,86900000
Albania,0,81750000
Northern Ireland,3,79880000
Guinea,0,74250000
Iceland,1,74000000
Chile,9,72700000
Gambia,0,72280000
Venezuela,0,62780000
Montenegro,0,60130000
Jamaica,1,53850000
Angola,1,52200000
Finland,0,41700000
Guinea-Bissau,0,41400000
Armenia,0,40380000
North Macedonia,0,38680000
Suriname,0,37650000
Mali,0,35700000
Gabon,0,34450000
Luxembourg,0,32900000
United Arab Emirates,1,31130000
Indonesia,0,30580000
Mozambique,0,30100000
Bulgaria,7,29750000
Togo,1,29680000
Peru,5,28900000
Mauritania,0,23600000
Bolivia,3,19280000
Cyprus,0,19100000
Costa Rica,6,18700000
Lithuania,0,18550000
Dominican Republic,0,18030000
Kazakhstan,0,17700000
Latvia,0,17530000
Benin,0,17080000
Honduras,3,16300000
Azerbaijan,0,16230000
Malta,0,14750000
Zambia,0,14630000
Liberia,0,14150000
Belarus,0,14000000
Sierra Leone,0,13430000
Guadeloupe,0,12600000
China,1,12480000
Burundi,0,12450000
Equatorial Guinea,0,12050000
Libya,0,11430000
Kenya,0,10930000
Moldova,0,10530000
Trinidad and Tobago,1,10100000
Niger,0,9980000
Uganda,0,8750000
Madagascar,0,8230000
Bangladesh,0,7740000
Tajikistan,0,7700000
Palestine,0,7630000
Kyrgyzstan,0,7580000
Tanzania,0,7530000
Syria,0,7200000
Malaysia,0,7130000
Zimbabwe,0,7100000
Estonia,0,7000000
Central African Republic,0,6980000
El Salvador,2,6960000
North Korea,2,6850000
Rwanda,0,6800000
Lebanon,0,6430000
Philippines,0,6430000
Thailand,0,6380000
Vietnam,0,6380000
Bahrain,0,6230000
Chad,0,6100000
Oman,0,6100000
Guatemala,0,5400000
New Caledonia,0,5200000
Faroe Islands,0,4950000
India,0,4800000
Singapore,0,4380000
Kuwait,1,4350000
Eritrea,0,4250000
Martinique,0,3830000
Hong Kong,0,3600000
Pakistan,0,3440000
Andorra,0,3340000
Comoros,0,3280000
Sudan,0,3250000
Myanmar,0,3130000
Botswana,0,3080000
Turkmenistan,0,2950000
Ethiopia,0,2780000
Congo,0,2600000
Nicaragua,0,2580000
Cambodia,0,2480000
Fiji,0,2450000
Cuba,1,2100000
Namibia,0,2080000
Malawi,0,2049999
Taiwan,0,1920000
Yemen,0,1850000
Grenada,0,1750000
South Sudan,0,1600000
Guyana,0,1500000
Sao Tome and Principe,0,1430000
Gibraltar,0,1380000
Nepal,0,1330000
Laos,0,1320000
Puerto Rico,0,1180000
San Marino,0,1120000
Eswatini,0,1080000
Seychelles,0,1030000
Maldives,0,950000
East Timor,0,925000
Sri Lanka,0,885000
Somalia,0,860000
Mauritius,0,850000
Bhutan,0,690000
Brunei,0,680000
Lesotho,0,675000
Antigua and Barbuda,0,650000
Liechtenstein,0,600000
Vanuatu,0,585000
Djibouti,0,575000
Saint Kitts and Nevis,0,575000
Mongolia,0,500000
Saint Vincent and the Grenadines,0,475000
Solomon Islands,0,450000
Bermuda,0,375000
Belize,0,375000
Montserrat,0,375000
Samoa,0,350000
Bonaire,0,350000
Macau,0,335000
Afghanistan,0,325000
Sint Maarten,0,325000
Saint Lucia,0,250000
Guam,0,240000
Barbados,0,200000
United States Virgin Islands,0,125000
Aruba,0,125000
French Guiana,0,125000
Tahiti,0,60000
Turks and Caicos Islands,0,50000
Tonga,0,10000
Papua New Guinea,0,0
Bahamas,0,0
Dominica,0,0
American Samoa,0,0
Anguilla,0,0
British Virgin Islands,0,0
Cayman Islands,0,0
Cook Islands,0,0
Kiribati,0,0
Northern Mariana Islands,0,0
Mayotte,0,0
