home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank,home_market_value,away_market_value,prev_N_pts_H,prev_N_pts_A,result
1312,817,132,210,6430000.0,500000.0,3.0,0.0,0
1248,1111,149,174,4800000.0,585000.0,3.0,0.0,1
1619,1246,56,150,79280000.0,2950000.0,3.0,1.0,1
1626,1326,54,124,79280000.0,7700000.0,6.0,1.0,1
1571,1238,67,153,6100000.0,2950000.0,1.0,1.0,1
1266,1294,142,137,4800000.0,6430000.0,7.0,1.0,1
1955,1961,10,9,766000000.0,833500000.0,0.0,0.0,2
1694,780,44,211,41700000.0,1120000.0,3.0,0.0,1
1234,1576,155,64,7580000.0,6100000.0,3.0,0.0,2
1609,1802,60,25,79280000.0,34680000.0,9.0,3.0,2
1245,1169,151,165,12600000.0,1500000.0,3.0,1.0,1
1273,925,143,195,4800000.0,1330000.0,13.0,0.0,1
1385,826,109,209,4350000.0,3440000.0,3.0,0.0,1
1300,561,135,236,6430000.0,690000.0,7.0,0.0,1
1304,901,133,200,6430000.0,950000.0,10.0,0.0,1
904,553,198,236,7740000.0,690000.0,3.0,0.0,1
1829,1179,23,163,356700000.0,575000.0,1.0,2.0,1
1386,902,108,199,4350000.0,7740000.0,6.0,0.0,1
1270,1308,144,131,4800000.0,6430000.0,11.0,1.0,0
1319,1274,129,143,12600000.0,2100000.0,6.0,0.0,1
1833,1371,21,114,356700000.0,10100000.0,4.0,0.0,1
1585,1170,63,164,53850000.0,575000.0,3.0,2.0,1
1492,1522,85,75,16300000.0,56830000.0,1.0,0.0,1
1271,1385,143,109,4800000.0,4350000.0,11.0,1.0,0
1663,1420,46,100,18700000.0,3830000.0,1.0,0.0,1
1710,1268,40,144,129050000.0,2100000.0,4.0,0.0,1
1557,1399,69,108,41150000.0,2080000.0,3.0,0.0,0
1357,1248,117,150,3080000.0,1080000.0,3.0,0.0,1
1417,1347,101,118,52200000.0,30100000.0,3.0,3.0,0
1802,1637,25,51,79800000.0,18700000.0,9.0,0.0,1
1693,1524,45,74,32400000.0,17930000.0,6.0,1.0,1
1297,875,136,203,2049999.0,1030000.0,3.0,0.0,1
1605,1497,62,81,53850000.0,5400000.0,6.0,1.0,1
1237,1319,154,128,675000.0,30100000.0,3.0,4.0,1
1567,1272,68,144,41150000.0,1080000.0,7.0,0.0,1
1352,1370,117,114,3080000.0,2080000.0,6.0,1.0,0
1485,873,86,203,14630000.0,1030000.0,6.0,0.0,1
1323,1227,126,156,2049999.0,3280000.0,6.0,0.0,1
1397,1219,107,158,52200000.0,675000.0,4.0,0.0,1
1805,1707,25,41,356700000.0,32400000.0,7.0,1.0,0
1823,1584,23,63,79800000.0,53850000.0,12.0,1.0,1
1225,1317,156,129,675000.0,2049999.0,6.0,1.0,0
1537,1515,71,78,41150000.0,14630000.0,10.0,0.0,2
1522,1332,74,121,41150000.0,2049999.0,10.0,2.0,0
1840,1690,20,45,79800000.0,32400000.0,15.0,2.0,1
1521,1219,76,158,14630000.0,675000.0,9.0,0.0,1
1254,871,150,203,8230000.0,1030000.0,1.0,0.0,1
1242,989,151,188,8230000.0,850000.0,4.0,0.0,0
999,861,187,204,850000.0,1030000.0,3.0,0.0,1
1258,1216,150,157,8230000.0,3280000.0,5.0,0.0,1
1273,1345,144,117,8230000.0,0.0,8.0,1.0,1
1031,1181,186,162,850000.0,3280000.0,6.0,0.0,1
1708,1413,40,101,32400000.0,3830000.0,9.0,0.0,1
1672,1479,47,88,143850000.0,79880000.0,1.0,0.0,1
1517,1454,77,91,5400000.0,6960000.0,6.0,1.0,1
1851,780,16,212,368000000.0,1120000.0,3.0,0.0,1
2116,1657,2,49,1470000000.0,144080000.0,6.0,0.0,1
1963,1686,9,45,766000000.0,315600000.0,0.0,0.0,1
1335,1838,121,21,19100000.0,207830000.0,0.0,3.0,2
1713,1512,39,78,522700000.0,40380000.0,3.0,3.0,0
1594,1482,62,84,53850000.0,16300000.0,9.0,0.0,1
1119,1298,172,137,1750000.0,37650000.0,1.0,1.0,0
2011,1331,5,123,357300000.0,17530000.0,1.0,0.0,1
1555,965,68,191,133400000.0,600000.0,0.0,0.0,1
1331,1416,123,99,2049999.0,74250000.0,9.0,0.0,0
1193,1509,161,79,3280000.0,14630000.0,8.0,3.0,0
1264,1750,150,34,6800000.0,474000000.0,0.0,1.0,0
1541,1946,70,11,38680000.0,833500000.0,0.0,3.0,0
1405,1981,104,8,16230000.0,558200000.0,1.0,3.0,2
1422,1756,97,33,7000000.0,435380000.0,0.0,0.0,2
1998,1840,7,20,1620000000.0,288200000.0,3.0,3.0,0
1489,1861,84,15,114280000.0,317600000.0,1.0,3.0,0
1130,1410,170,102,3340000.0,14000000.0,0.0,0.0,0
1550,1480,70,86,60130000.0,29750000.0,1.0,1.0,1
1454,1462,91,89,17700000.0,79880000.0,3.0,0.0,1
1390,1601,110,61,6380000.0,19780000.0,3.0,1.0,0
1268,1831,148,24,18550000.0,296500000.0,2.0,1.0,2
1617,1064,56,180,218080000.0,1430000.0,3.0,0.0,1
1522,1703,74,40,5400000.0,32400000.0,9.0,2.0,0
1614,1723,57,37,81750000.0,214000000.0,3.0,0.0,1
1423,1313,97,131,3830000.0,28680000.0,9.0,0.0,1
1109,1124,176,171,250000.0,575000.0,3.0,2.0,1
1687,1061,45,181,315600000.0,1380000.0,3.0,0.0,1
1425,1413,95,102,6960000.0,10100000.0,1.0,0.0,2
1254,1313,151,131,4950000.0,10530000.0,0.0,0.0,2
1689,1868,44,15,41700000.0,368000000.0,6.0,1.0,2
1318,1673,127,47,17530000.0,199050000.0,0.0,0.0,2
1613,964,58,192,130550000.0,600000.0,0.0,0.0,1
2021,1503,4,80,968500000.0,32900000.0,3.0,3.0,1
1494,1536,82,71,74000000.0,133400000.0,0.0,0.0,1
1413,1314,103,130,41400000.0,13430000.0,3.0,0.0,1
1180,990,163,189,18030000.0,375000.0,0.0,3.0,1
1508,2015,78,5,40380000.0,357300000.0,3.0,3.0,2
1295,1283,138,142,2100000.0,37650000.0,1.0,2.0,1
1862,1129,17,171,317600000.0,3340000.0,1.0,0.0,1
1167,1043,165,183,1180000.0,650000.0,1.0,0.0,1
1584,1520,64,75,53850000.0,56830000.0,12.0,1.0,0
1248,1088,152,178,125000.0,375000.0,1.0,0.0,2
1641,1477,50,87,97200000.0,114280000.0,1.0,0.0,1
1745,1623,33,54,504000000.0,199050000.0,3.0,3.0,1
2007,1334,7,122,1310000000.0,19100000.0,3.0,0.0,1
