date,home_team,away_team,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2026-06-28,Canada,South Africa,World Cup,the United States,1748,1575,32,68
2026-06-29,Brazil,Japan,World Cup,the United States,2009,1910,5,13
2026-06-29,Germany,Paraguay,World Cup,the United States,1916,1815,10,24
2026-06-29,Morocco,Netherlands,World Cup,Mexico,1877,1980,17,8
2026-06-30,France,Sweden,World Cup,the United States,2123,1742,3,36
2026-06-30,Ivory Coast,Norway,World Cup,the United States,1743,1918,35,9
2026-06-30,Mexico,Ecuador,World Cup,Mexico,1912,1902,12,15
2026-07-01,Belgium,Senegal,World Cup,the United States,1884,1842,16,21
2026-07-01,DR Congo,England,World Cup,the United States,1712,2038,43,4
2026-07-01,United States,Bosnia/Herzegovina,World Cup,the United States,1781,1622,27,58
2026-07-02,Croatia,Portugal,World Cup,Canada,1905,1990,14,7
2026-07-02,Algeria,Switzerland,World Cup,Canada,1785,1914,26,11
2026-07-02,Austria,Spain,World Cup,the United States,1836,2144,23,2
2026-07-03,Argentina,Cape Verde,World Cup,the United States,2148,1622,1,58
2026-07-03,Australia,Egypt,World Cup,the United States,1800,1742,25,36
2026-07-03,Colombia,Ghana,World Cup,the United States,2004,1575,6,68
2026-09-23,Iraq,Oman,Gulf Cup,Saudi Arabia,1561,1480,73,83
2026-09-23,Saudi Arabia,Kuwait,Gulf Cup,Saudi Arabia,1596,1332,65,127
2026-09-24,Netherlands,Germany,European League A,the Netherlands,1980,1916,8,10
2026-09-24,Norway,Denmark,European League A,Norway,1918,1869,9,18
2026-09-24,Portugal,Wales,European League A,Portugal,1990,1682,7,48
2026-09-24,Austria,Israel,European League B,Austria,1836,1647,23,54
2026-09-24,Bahrain,Qatar,Gulf Cup,Saudi Arabia,1414,1411,98,99
2026-09-25,Italy,Belgium,European League A,Italy,1869,1884,18,16
2026-09-25,Turkey,France,European League A,Turkey,1852,2123,20,3
2026-09-25,Poland,Bosnia/Herzegovina,European League B,Poland,1710,1622,44,58
2026-09-25,Sweden,Romania,European League B,Sweden,1742,1639,36,55
2026-09-26,Czechia,Croatia,European League A,Czechia,1680,1905,50,14
2026-09-26,England,Spain,European League A,England,2038,2144,4,2
2026-09-26,North Macedonia,Switzerland,European League B,North Macedonia,1589,1914,66,11
2026-09-26,Slovenia,Scotland,European League B,Slovenia,1682,1745,48,33
2026-09-26,Iraq,Kuwait,Gulf Cup,Saudi Arabia,1561,1332,73,127
2026-09-26,Saudi Arabia,Oman,Gulf Cup,Saudi Arabia,1596,1480,65,83
2026-09-27,Germany,Greece,European League A,Germany,1916,1744,10,34
2026-09-27,Norway,Portugal,European League A,Norway,1918,1990,9,7
2026-09-27,Serbia,Netherlands,European League A,Serbia,1734,1980,38,8
2026-09-27,Austria,Kosovo,European League B,Austria,1836,1714,23,42
2026-09-27,Qatar,Yemen,Gulf Cup,Saudi Arabia,1411,1195,99,160
2026-09-28,Belgium,France,European League A,Belgium,1884,2123,16,3
2026-09-28,Turkey,Italy,European League A,Turkey,1852,1869,20,18
2026-09-28,Romania,Bosnia/Herzegovina,European League B,Romania,1639,1622,55,58
2026-09-28,Sweden,Poland,European League B,Sweden,1742,1710,36,44
2026-09-29,Czechia,England,European League A,Czechia,1680,2038,50,4
2026-09-29,Spain,Croatia,European League A,Spain,2144,1905,2,14
2026-09-29,Scotland,Switzerland,European League B,Scotland,1745,1914,33,11
2026-09-29,Saudi Arabia,Iraq,Gulf Cup,Saudi Arabia,1596,1561,65,73
2026-09-30,Qatar,UAE,Gulf Cup,Saudi Arabia,1411,1540,99,75
2026-10-01,Denmark,Portugal,European League A,Denmark,1869,1990,18,7
