date,home_team,away_team,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2026-07-09,France,Morocco,World Cup,the United States,2143,1921,3,12
2026-07-10,Belgium,Spain,World Cup,the United States,1961,2177,10,1
2026-07-11,Argentina,Switzerland,World Cup,the United States,2156,1949,2,11
2026-07-11,England,Norway,World Cup,the United States,2076,1972,4,8
2026-09-23,Iraq,Oman,Gulf Cup,Saudi Arabia,1561,1479,72,83
2026-09-23,Saudi Arabia,Kuwait,Gulf Cup,Saudi Arabia,1596,1332,65,127
2026-09-24,Netherlands,Germany,European League A,the Netherlands,1971,1907,9,14
2026-09-24,Norway,Denmark,European League A,Norway,1972,1869,8,18
2026-09-24,Portugal,Wales,European League A,Portugal,1995,1682,6,48
2026-09-24,Austria,Israel,European League B,Austria,1821,1647,22,54
2026-09-24,Bahrain,Qatar,Gulf Cup,Saudi Arabia,1414,1411,98,99
2026-09-25,Italy,Belgium,European League A,Italy,1869,1961,18,10
2026-09-25,Turkey,France,European League A,Turkey,1852,2143,20,3
2026-09-25,Poland,Bosnia/Herzegovina,European League B,Poland,1710,1605,43,63
2026-09-25,Sweden,Romania,European League B,Sweden,1731,1639,37,55
2026-09-25,Australia,Brazil,Friendly,Australia,1795,1993,25,7
2026-09-26,Czechia,Croatia,European League A,Czechia,1680,1881,50,16
2026-09-26,England,Spain,European League A,England,2076,2177,4,1
2026-09-26,North Macedonia,Switzerland,European League B,North Macedonia,1589,1949,66,11
2026-09-26,Slovenia,Scotland,European League B,Slovenia,1682,1745,48,32
2026-09-26,Iraq,Kuwait,Gulf Cup,Saudi Arabia,1561,1332,72,127
2026-09-26,Saudi Arabia,Oman,Gulf Cup,Saudi Arabia,1596,1479,65,83
2026-09-27,Germany,Greece,European League A,Germany,1907,1744,14,33
2026-09-27,Norway,Portugal,European League A,Norway,1972,1995,8,6
2026-09-27,Serbia,Netherlands,European League A,Serbia,1734,1971,35,9
2026-09-27,Austria,Kosovo,European League B,Austria,1821,1714,22,42
2026-09-27,Qatar,Yemen,Gulf Cup,Saudi Arabia,1411,1195,99,160
2026-09-28,Belgium,France,European League A,Belgium,1961,2143,10,3
2026-09-28,Turkey,Italy,European League A,Turkey,1852,1869,20,18
