date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank,home_market_value,away_market_value
2023-06-09,Lebanon,Vanuatu,3,1,Intercontinental Cup,India,1326,1117,124,174,6430000.0,585000.0
2023-06-09,India,Mongolia,2,0,Intercontinental Cup,India,1242,803,151,210,4800000.0,500000.0
2023-06-10,Kyrgyzstan,Afghanistan,1,0,Central Asian Nations Cup,Kyrgyzstan,1245,1090,150,178,7580000.0,325000.0
2023-06-11,Tajikistan,Turkmenistan,1,1,Central Asian Nations Cup,Uzbekistan,1321,1250,128,148,7700000.0,2950000.0
2023-06-11,Uzbekistan,Oman,3,0,Central Asian Nations Cup,Uzbekistan,1615,1575,57,66,79280000.0,6100000.0
2023-06-12,Lebanon,Mongolia,0,0,Intercontinental Cup,India,1312,817,132,210,6430000.0,500000.0
2023-06-12,India,Vanuatu,1,0,Intercontinental Cup,India,1248,1111,149,174,4800000.0,585000.0
2023-06-13,Iran,Afghanistan,6,1,Central Asian Nations Cup,Kyrgyzstan,1779,1089,28,178,34680000.0,325000.0
2023-06-14,Oman,Tajikistan,1,1,Central Asian Nations Cup,Uzbekistan,1563,1333,67,124,6100000.0,7700000.0
2023-06-14,Netherlands,Croatia,2,4,European Nations League,the Netherlands,1991,2012,7,4,766000000.0,357300000.0
2023-06-14,Egypt,Guinea,2,1,African Nations Cup qual,Morocco,1682,1416,45,100,108830000.0,74250000.0
2023-06-14,Gambia,South Sudan,3,2,African Nations Cup qual,Egypt,1448,1117,92,173,72280000.0,1600000.0
2023-06-14,Guinea-Bissau,Sao Tome and Principe,1,0,African Nations Cup qual,Guinea-Bissau,1402,1066,105,180,41400000.0,1430000.0
2023-06-14,Uzbekistan,Turkmenistan,2,0,Central Asian Nations Cup,Uzbekistan,1619,1246,56,150,79280000.0,2950000.0
2023-06-15,Canada,Panama,2,0,CONCACAF Nat League,the United States,1757,1647,33,52,129050000.0,32400000.0
2023-06-15,Spain,Italy,2,1,European Nations League,the Netherlands,1987,1925,8,12,1310000000.0,833500000.0
2023-06-15,India,Lebanon,0,0,Intercontinental Cup,India,1246,1314,149,129,4800000.0,6430000.0
2023-06-15,Vanuatu,Mongolia,1,0,Intercontinental Cup,India,1116,812,174,210,585000.0,500000.0
2023-06-16,Kosovo,Romania,0,0,European Champ qual,Kosovo,1501,1620,79,54,114280000.0,97200000.0
2023-06-16,Israel,Belarus,2,1,European Champ qual,Hungary,1611,1394,58,106,86900000.0,14000000.0
2023-06-16,Greece,Ireland,2,1,European Champ qual,Greece,1696,1658,43,49,315600000.0,144080000.0
2023-06-16,France,Gibraltar,3,0,European Champ qual,Portugal,2112,1066,3,179,1470000000.0,1380000.0
2023-06-16,Finland,Slovenia,2,0,European Champ qual,Finland,1694,1656,45,50,41700000.0,143850000.0
